,interview_code,sequences,transcripts_available
189,11709,"['topic_5', 'topic_6', 'topic_4', 'topic_1', 'topic_1', 'topic_9', 'topic_12', 'topic_18', 'topic_0', 'topic_5', 'topic_6', 'topic_6', 'topic_12', 'topic_12', 'topic_12', 'topic_9', 'topic_10', 'topic_16', 'topic_5', 'topic_5']",False
190,11718,"['topic_9', 'topic_7', 'topic_1']",False
191,11721,"['topic_9', 'topic_4']",False
192,11722,"['topic_10', 'topic_9', 'topic_4', 'topic_3', 'topic_9']",True
193,11725,"['topic_8', 'topic_9_10', 'topic_6']",False
194,11734,"['topic_9', 'topic_10', 'topic_1_9', 'topic_9']",False
195,11763,"['topic_4', 'topic_10', 'topic_2']",False
196,11767,"['topic_21', 'topic_12', 'topic_0', 'topic_0', 'topic_12', 'topic_6', 'topic_0_18', 'topic_0', 'topic_21', 'topic_4', 'topic_11', 'topic_21', 'topic_1', 'topic_6', 'topic_18', 'topic_1', 'topic_7', 'topic_0']",False
197,1177,"['topic_5_9', 'topic_10', 'topic_0']",False
198,11794,"['topic_4', 'topic_10', 'topic_0', 'topic_4', 'topic_12', 'topic_18', 'topic_1', 'topic_7', 'topic_12', 'topic_13']",False
199,11797,"['topic_9', 'topic_0_10', 'topic_8', 'topic_5']",True
200,11805,"['topic_5', 'topic_10', 'topic_0', 'topic_3']",False
201,11815,"['topic_8_10', 'topic_9', 'topic_5', 'topic_1', 'topic_1']",False
202,11817,"['topic_4_9_10', 'topic_1_2']",False
203,11822,"['topic_12', 'topic_0']",False
204,11824,"['topic_9', 'topic_12', 'topic_6']",False
205,11827,"['topic_9_10', 'topic_4_5', 'topic_3_21', 'topic_1_18', 'topic_6', 'topic_12', 'topic_5_9', 'topic_7', 'topic_2_8']",False
206,11833,"['topic_7', 'topic_2', 'topic_6', 'topic_5_16', 'topic_0', 'topic_8_9', 'topic_10', 'topic_5', 'topic_3', 'topic_4', 'topic_12', 'topic_12', 'topic_12']",False
207,11836,"['topic_8_9_10', 'topic_6', 'topic_5', 'topic_6_10', 'topic_4', 'topic_6_11', 'topic_6', 'topic_6', 'topic_0_10', 'topic_18', 'topic_1', 'topic_10', 'topic_12', 'topic_7', 'topic_8', 'topic_6', 'topic_2', 'topic_7', 'topic_21']",False
208,11854,"['topic_4', 'topic_10', 'topic_1', 'topic_2', 'topic_5']",False
209,11858,"['topic_10', 'topic_19']",False
210,11863,"['topic_2_3_4_8_9_10_13_21', 'topic_0_1_18']",False
211,11865,"['topic_4', 'topic_9', 'topic_10']",False
212,11868,"['topic_0', 'topic_12', 'topic_18', 'topic_7', 'topic_1']",False
213,11871,"['topic_9', 'topic_4']",False
214,11887,"['topic_1', 'topic_15', 'topic_2']",False
215,11888,"['topic_2_8', 'topic_4']",False
216,11889,"['topic_12', 'topic_9']",False
217,1189,"['topic_2_3_7_8', 'topic_0_2_8_12', 'topic_10_15', 'topic_15', 'topic_0_10_15', 'topic_2']",False
