,interview_code,sequences,transcripts_available
235,11184,"['topic_4', 'topic_5', 'topic_21', 'topic_1', 'topic_18', 'topic_10', 'topic_7', 'topic_2']",True
236,11199,"['topic_9', 'topic_4', 'topic_1', 'topic_5', 'topic_10', 'topic_12']",False
237,112,"['topic_9_10', 'topic_9', 'topic_17_21', 'topic_4', 'topic_1', 'topic_21', 'topic_10', 'topic_5', 'topic_18_19', 'topic_0_10', 'topic_2']",False
238,11207,"['topic_9_10', 'topic_9', 'topic_4', 'topic_15', 'topic_0_7_21', 'topic_5', 'topic_1', 'topic_3', 'topic_1', 'topic_12', 'topic_18', 'topic_5_21', 'topic_12', 'topic_10', 'topic_2']",False
239,11209,"['topic_9_10', 'topic_9', 'topic_18', 'topic_18_21', 'topic_5_10']",False
240,1121,"['topic_9', 'topic_7_10', 'topic_9', 'topic_4', 'topic_1', 'topic_1', 'topic_5', 'topic_1', 'topic_10', 'topic_18', 'topic_9', 'topic_2']",False
241,11213,"['topic_2_8', 'topic_2_8', 'topic_2_3_4_12', 'topic_1_9_17', 'topic_6_12', 'topic_0_5']",False
242,1122,"['topic_9_10', 'topic_4', 'topic_3', 'topic_17_21', 'topic_5', 'topic_10', 'topic_2']",False
243,11233,"['topic_10', 'topic_3', 'topic_0_6_12']",False
244,11236,"['topic_4', 'topic_10', 'topic_12', 'topic_1']",False
245,1124,"['topic_1_18', 'topic_5', 'topic_3', 'topic_7_17', 'topic_7_17', 'topic_9', 'topic_2_9', 'topic_2_7', 'topic_2_8', 'topic_9_10', 'topic_0_4_11']",False
246,11249,"['topic_7', 'topic_4', 'topic_1', 'topic_0_18', 'topic_7_21', 'topic_18', 'topic_18_21', 'topic_5_10_21']",False
247,11255,"['topic_18_19', 'topic_0_9_15', 'topic_15', 'topic_5_10_15', 'topic_2_7_8', 'topic_2', 'topic_4_9_10']",False
248,11261,"['topic_10', 'topic_4', 'topic_5', 'topic_10', 'topic_10', 'topic_9', 'topic_5', 'topic_7']",False
249,11274,"['topic_0_6', 'topic_12', 'topic_1_8', 'topic_6', 'topic_11', 'topic_3', 'topic_0_10', 'topic_20', 'topic_0_10', 'topic_12', 'topic_6_21', 'topic_7_17_21', 'topic_2', 'topic_6', 'topic_9', 'topic_4', 'topic_4', 'topic_0', 'topic_11', 'topic_3']",True
250,11275,"['topic_6', 'topic_9', 'topic_9', 'topic_4', 'topic_5_20', 'topic_10', 'topic_18', 'topic_7', 'topic_5_14', 'topic_7_9_14', 'topic_16', 'topic_1', 'topic_5_7_9_21', 'topic_11', 'topic_7_9_10', 'topic_10_21', 'topic_7_9_10', 'topic_2_7', 'topic_7']",False
251,11276,"['topic_5', 'topic_9_10', 'topic_4', 'topic_9', 'topic_9', 'topic_1', 'topic_0_10']",False
252,11280,['topic_4'],False
