,segment_lenght
59791,0 days 00:03:47.890000000
60273,0 days 00:02:53.930000000
60279,0 days 00:04:12.920000000
60284,0 days 00:06:52.960000000
60298,0 days 00:03:52.980000000
62126,0 days 00:05:06.040000000
62136,0 days 00:02:28.970000000
62141,0 days 00:02:46.050000000
62146,0 days 00:03:30.740000000
62150,0 days 00:02:25.960000000
62161,0 days 00:02:25.960000000
62172,0 days 00:00:41.940000000
63469,0 days 00:03:07.060000000
63476,0 days 00:03:30.910000000
63489,0 days 00:02:45.770000000
63496,0 days 00:04:50.110000000
63506,0 days 00:06:32.080000000
63512,0 days 00:03:36.940000000
63518,0 days 00:02:56.950000000
63526,0 days 00:04:15.910000000
63734,0 days 00:06:10.010000000
63739,0 days 00:04:03.050000000
63744,0 days 00:03:20.900000000
63757,0 days 00:04:37.980000000
63766,0 days 00:04:29.930000000
63774,0 days 00:03:59.030000000
63779,0 days 00:04:32.830000000
64006,0 days 00:03:26.280000000
64025,0 days 00:04:14.230000000
64032,0 days 00:05:22.730000000
64043,0 days 00:03:24.050000000
64050,0 days 00:03:37.050000000
64058,0 days 00:04:13.970000000
64072,0 days 00:02:33.970000000
64076,0 days 00:04:28.130000000
64082,0 days 00:08:34.810000000
67004,0 days 00:05:20.000000000
67020,0 days 00:02:36.930000000
67432,0 days 00:04:26.890000000
67443,0 days 00:06:31.210000000
67449,0 days 00:05:09.010000000
67461,0 days 00:04:42.970000000
68396,0 days 00:04:13.800000000
68406,0 days 00:02:50.120000000
68410,0 days 00:03:43.940000000
68420,0 days 00:03:56.870000000
68430,0 days 00:04:11.140000000
69070,0 days 00:04:00.790000000
69076,0 days 00:04:21.970000000
69083,0 days 00:05:58.180000000
69093,0 days 00:03:20.050000000
70446,0 days 00:03:59.850000000
70451,0 days 00:02:43.230000000
70458,0 days 00:03:00.820000000
70463,0 days 00:03:27.180000000
74317,0 days 00:04:37.840000000
74326,0 days 00:03:20.980000000
74331,0 days 00:03:42.060000000
74344,0 days 00:05:24.840000000
74348,0 days 00:06:21.020000000
74361,0 days 00:04:17.040000000
74368,0 days 00:05:26.940000000
74374,0 days 00:03:17.020000000
74382,0 days 00:04:44.820000000
74392,0 days 00:05:03.060000000
74409,0 days 00:02:31.120000000
74417,0 days 00:04:21.020000000
74426,0 days 00:06:18.880000000
74435,0 days 00:05:51.130000000
74447,0 days 00:05:20.200000000
